itemNumber,price,freightCost/surcharge,eligibility(Promotion Restriction),category,brand,image,minRetailQty,Instock Qty,Shipping_date,date
G9791975,7.15,0.0,YES,"Janitorial & Cleaning Supplies / Cleaning Supplies / Floor Mops, Buckets & Wringers / Dust Mop Accessories",Kraft Tool,Z0wAKylcpEx_.JPG,1,0,1,2024-08-26 11:57:01
G1209223,24.45,0.0,YES,"Power Transmission / Bearings, V-belts & Power Transmission Equipment / Pillow Block & Flange Bearings / Flange Bearings",Dayton,Z1Jyq_fo5oy.JPG,1,0,1,2024-08-26 11:57:07
G4782504,29.59,0.0,YES,Tools & Machining / Hand Tools / Pliers / Cutting Pliers,Knipex,Z_oIx_lcpEx_.JPG,1,0,1,2024-08-26 11:57:14
G4875300,18.55,0.0,YES,"Tools & Machining / Measuring & Marking Tools / Measuring and Layout Tools / Squares, Bevels, and Stair Gauges",Empire Level,Z1sK5yqcpEx_.JPG,1,0,1,2024-08-26 11:57:21
G3362003,0.99,0.0,YES,Abrasives & Polishers / Sanding Abrasives / Coated Sanding Belts,Norton Abrasives,Z--wx_fo5oy.JPG,1,0,1,2024-08-26 11:57:27
G6106825,9.45,0.0,NO,Janitorial & Cleaning Supplies / Cleaning Chemicals / Septic & Drain Cleaners,Hercules,Z-o18upcpEx0.JPG,1,0,1,2024-08-26 11:57:32
G9320166,32.95,0.0,YES,Abrasives & Polishers / Sanding Abrasives / Abrasive Rolls,Norton Abrasives,Z0s1_0jcpEx_.JPG,1,0,1,2024-08-26 11:57:39
G1150414,1.29,0.0,YES,Tools & Machining / Cutting Tools / Drill Bits / Screw Machine Length Drill Bits,Cle-Line,Z1y9rtfo5oy.JPG,1,0,1,2024-08-26 11:57:47
G6123848,7.99,0.0,YES,"Office, School & Shipping Supplies / Pens, Pencils & Markers / Industrial Markers",Dykem,Z2q5K_icpEx_.JPG,1,0,1,2024-08-26 11:57:54
G7469948,7.65,0.0,YES,Vehicle Maintenance / Automotive Electrical & Lighting / Automotive Electrical / Automotive Horns & Accessories,Fiamm,Z2r1GwlcpEx_.JPG,1,0,1,2024-08-26 11:58:00
G3787360,7.75,0.0,NO,Adhesives & Tapes / Patching and Repairing Compounds / Repair Putties,Oatey,Z0x-90ocpEx_.JPG,1,0,1,2024-08-26 11:58:05
G6101961,8.79,0.0,YES,Tools & Machining / Workholding & Machine Tool Accessories / Hand Knobs and Wheels / Cam Machine Handles,Kipp,Z-oLKwncpEx_.JPG,1,0,1,2024-08-26 11:58:12
G1004647,29.89,0.0,YES,"Welding, Soldering & Brazing / Solders & Supplies / Solder Elements",Weller,Z3y_o-fo5oy.JPG,1,0,1,2024-08-26 11:58:20
G3523301,5.99,0.0,YES,"Welding, Soldering & Brazing / Welding Parts & Supplies / Soldering Tips",Techspray,ZzorpypgdNmXUSnuhdDevxu9_8pcYp.JPG,1,0,1,2024-08-26 11:58:23
G3195707,3.55,0.0,YES,Heating & Cooling / HVACR and Appliance Controls / Thermostats / Line Voltage Thermostats,Intermatic,Z-ss2tncpEx_.JPG,3,0,6,2024-08-26 11:58:29
G4323812,12.29,0.0,YES,"Power Transmission / Bearings, V-belts & Power Transmission Equipment / Plain Bearings / Sleeve Bearings",Bunting Bearings,Z_rIswmcpEx_.JPG,1,0,1,2024-08-26 11:58:36
G2448232,54.99,0.0,YES,Electrical Supplies / Wire Connectors & Terminals / Wire Connectors & Disconnects / Wire Terminals,Sta-Kon,Z1D5Kvfo5oy.JPG,1,0,1,2024-08-26 11:58:43
